STB Manufacturer,STB Model,STB Serial,STB Production Date,Chipset Type,Chipset Version,Chipset Id
INTEK Digital,HD-S73CX,C28H1552L00654,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540697
INTEK Digital,HD-S73CX,C28H1552L00655,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514599
INTEK Digital,HD-S73CX,C28H1552L00656,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514454
INTEK Digital,HD-S73CX,C28H1552L00657,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532584
INTEK Digital,HD-S73CX,C28H1552L00658,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537550
INTEK Digital,HD-S73CX,C28H1552L00659,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652531739
INTEK Digital,HD-S73CX,C28H1552L00660,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535441
INTEK Digital,HD-S73CX,C28H1552L00661,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535340
INTEK Digital,HD-S73CX,C28H1552L00662,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541731
INTEK Digital,HD-S73CX,C28H1552L00663,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525304
INTEK Digital,HD-S73CX,C28H1552L00664,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652536633
INTEK Digital,HD-S73CX,C28H1552L00665,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532541
INTEK Digital,HD-S73CX,C28H1552L00666,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525274
INTEK Digital,HD-S73CX,C28H1552L00667,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532142
INTEK Digital,HD-S73CX,C28H1552L00668,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652515691
INTEK Digital,HD-S73CX,C28H1552L00669,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532423
INTEK Digital,HD-S73CX,C28H1552L00670,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514386
INTEK Digital,HD-S73CX,C28H1552L00671,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532959
INTEK Digital,HD-S73CX,C28H1552L00672,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532981
INTEK Digital,HD-S73CX,C28H1552L00673,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532987
INTEK Digital,HD-S73CX,C28H1552L00674,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540630
INTEK Digital,HD-S73CX,C28H1552L00675,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532132
INTEK Digital,HD-S73CX,C28H1552L00676,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529352
INTEK Digital,HD-S73CX,C28H1552L00677,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540603
INTEK Digital,HD-S73CX,C28H1552L00678,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533009
INTEK Digital,HD-S73CX,C28H1552L00679,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533152
INTEK Digital,HD-S73CX,C28H1552L00680,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652538311
INTEK Digital,HD-S73CX,C28H1552L00681,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516394
INTEK Digital,HD-S73CX,C28H1552L00682,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532640
INTEK Digital,HD-S73CX,C28H1552L00683,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541900
INTEK Digital,HD-S73CX,C28H1552L00684,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652544308
