"Operator Name";"Operator Group Name";"STB Manufacturer";"STB Model";"STB Serial";"STB Production Date";"Chipset Manufacturer";"Chipset Type";"Chipset Version";"Chipset Id"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00283";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535743"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00284";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539091"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00285";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539608"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00286";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652541030"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00287";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652544313"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00288";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539017"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00361";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535944"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00362";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652525627"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00363";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652525539"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00364";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532100"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00365";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540759"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00366";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652514488"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00367";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529260"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00368";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652514366"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00369";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535673"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00397";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535046"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00398";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529557"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00399";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652536984"
